baslik,konum,fiyat,ilan_tarihi,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer
SGZ MOTORS 2020 EGEA URBAN PLUS HATASIZ BOYASIZ 39.000 KM LPG'li,"Şahin Özbilen Mh. Ceyhan, Adana",814.900 TL,15 Ağustos 2025,Fiat,Egea,1.4 Fire Urban Plus,2020,39.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
BOYASIZ - DEĞİŞENSİZ - HATASIZ  Volkswagen Golf 1.4 TSi 2011 Model Adana,"Yeşiloba Mh. Seyhan, Adana",785.000 TL,15 Ağustos 2025,Volkswagen,Golf,1.4 TSi Trendline,2011,245.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1390 cc,122 hp,Önden Çekiş,İkinci El,"6,2 lt",55 lt,1 değişen,Takasa Uygun,Galeriden,
ESG Motors | 99 Honda Civic İes Lacivert Tramersiz Ekstralı,"Fevzipaşa Mh. Seyhan, Adana",352.500 TL,15 Ağustos 2025,Honda,Civic,1.4 i S,1999,325.000 km,Düz,Benzin,Sedan,Lacivert,1396 cc,90 hp,Önden Çekiş,İkinci El,"6,8 lt",45 lt,1 değişen,Takasa Uygun,Galeriden,
ÖZTÜRK AUTO’DAN EMSALSİZ TEMİZLİKTE BMW 320 İED,"Yeşiloba Mh. Seyhan, Adana",1.115.000 TL,14 Ağustos 2025,BMW,3 Serisi,320i ED M Plus,2014,238.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,170 hp,Arkadan İtiş,İkinci El,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,
2025 ÇIKŞLI YENİ KASA RENAULT CLİO 1.0TCE ALPİNE HATASIZ %20 KDV,"Yeşiloba Mh. Seyhan, Adana",1.385.000 TL,14 Ağustos 2025,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,9.200 km,Otomatik,Benzin,Hatchback/5,Siyah,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Orijinal Temiz araç,"Yeşiloba Mh. Seyhan, Adana",1.580.000 TL,14 Ağustos 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2019,83.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,
ÇELİK'DEN 2012 MODEL BMW F30 320d SUNROOF DERİ 19 JANT M GÖRÜNÜM,"Yeni Mh. Sarıçam, Adana",1.069.500 TL,14 Ağustos 2025,BMW,3 Serisi,320d Techno Plus,2012,297.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,184 hp,Arkadan İtiş,İkinci El,"4,4 lt",57 lt,Tamamı orjinal,Takasa Uygun,Galeriden,40.0
Galeriden Renault Symbol 1.5 dCi Joy 2015 Model Adana,"Onur Mh. Seyhan, Adana",585.000 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2015,250.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,
2016 BMW 320İ ORJİNAL M PLUS RECARO/M FREN,"Yeşiloba Mh. Seyhan, Adana",1.235.000 TL,13 Ağustos 2025,BMW,3 Serisi,320i ED M Plus,2016,230.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,"3 değişen, 1 boyalı",Takasa Uygun,Galeriden,74940.0
ÇELİK'DEN 1998 PEUGEOT 106 GTİ 1.6 - KLİMA-VAREX-BEYAZ-SES SİSTM,"Yeni Mh. Sarıçam, Adana",246.900 TL,13 Ağustos 2025,Peugeot,106,GTI,1998,250.000 km,Düz,Benzin,Hatchback/3,Beyaz,1587 cc,120 hp,Önden Çekiş,İkinci El,"8,1 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,
Bakımlı Temiz Araç,"Yeşiloba Mh. Seyhan, Adana",585.000 TL,13 Ağustos 2025,Ford,Focus,1.6 TDCi Trend,2009,237.000 km,Düz,Dizel,Sedan,Gri,1560 cc,110 hp,Önden Çekiş,İkinci El,"4,5 lt",55 lt,4 boyalı,Takasa Uygun,Galeriden,
ÇELİK'DEN 2020 MODEL Giulietta 1.6 JTD OTOMATİK 120.00km BOYASIZ,"Yeni Mh. Sarıçam, Adana",1.049.500 TL,13 Ağustos 2025,Alfa Romeo,Giulietta,1.6 JTD,2020,120.000 km,Otomatik,Dizel,Hatchback/5,Bordo,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Galeriden Renault Megane 1.5 Blue DCI Icon 2019 Model cam tavan Adana,"Fevzipaşa Mh. Seyhan, Adana",1.150.000 TL,13 Ağustos 2025,Renault,Megane,1.5 Blue DCI Icon,2019,314.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",49 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,
Galeriden Lada Samara 1.5 1993 Model Adana,"Sarıhamzalı Mh. Seyhan, Adana",105.000 TL,12 Ağustos 2025,Lada,Samara,1.5,1993,163.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1499 cc,68 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,
Galeriden Renault Megane 1.5 dCi Dynamique 2006 Model Adana,"Demetevler Mh. Seyhan, Adana",489.000 TL,11 Ağustos 2025,Renault,Megane,1.5 dCi Dynamique,2006,217.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,100 hp,Önden Çekiş,İkinci El,"4,9 lt",60 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,
2013 E-HDI DİZEL OTOMATİK PEJO 508 ACTIVE HEAD DISPLAY ELEKTRONIK EL FRENI KEYLESS GO,"Sümer Mh. Seyhan, Adana",765.000 TL,11 Ağustos 2025,Peugeot,508,1.6 e-HDi Active,2013,194.500 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,117 hp,Önden Çekiş,İkinci El,4 lt,72 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,
Galeriden Chevrolet Aveo 1.4 S 2006 Model Adana,"Yeşiloba Mh. Seyhan, Adana",350.000 TL,11 Ağustos 2025,Chevrolet,Aveo,1.4 S,2006,217.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1399 cc,94 hp,Önden Çekiş,İkinci El,"6,7 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,
Temiz Opel aile aracı,"Gültepe Mh. Sarıçam, Adana",560.000 TL,09 Ağustos 2025,Opel,Insignia,1.6 T Edition Elegance,2010,290.000 km,Düz,Benzin,Sedan,Siyah,1598 cc,180 hp,Önden Çekiş,İkinci El,"7,7 lt",70 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,
ESG Motors | 2006 Honda Civic Vtec İlk Elden,"Fevzipaşa Mh. Seyhan, Adana",565.000 TL,28 Temmuz 2025,Honda,Civic,1.6 i-VTEC LS,2006,220.000 km,Düz,Benzin,Sedan,Gri,1590 cc,110 hp,Önden Çekiş,İkinci El,"6,5 lt",50 lt,"2 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,6500.0
BU FİYATA BU TEMİZLİKTE YOK,"Tellidere Mh. Seyhan, Adana",690.000 TL,12 Temmuz 2025,Opel,Astra,1.6 Edition Plus,2016,183.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",56 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
SGZ MOTORS 2009 MDL KLİMA ABS MASRAFSIZ DEĞİŞENSİZ LPG,"Şahin Özbilen Mh. Ceyhan, Adana",335.000 TL,09 Mayıs 2025,Hyundai,Accent Era,1.4 Team,2009,390.000 km,Düz,Benzin,Sedan,Gri,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,9 boyalı,Takasa Uygun Değil,Galeriden,2.0
Sahibinden Hyundai i20 1.4 MPI Style 2018 Model,"Güzelyalı Mh. Çukurova, Adana",1.100.000 TL,21 Ağustos 2025,Hyundai,i20,1.4 MPI Style,2018,67.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,3 boyalı,,Sahibinden,
Sahibinden Fiat Tempra 1.6 SX 1993 Model,"Serinevler Mh. Yüreğir, Adana",117.000 TL,21 Ağustos 2025,Fiat,Tempra,1.6 SX,1993,185.000 km,Düz,LPG & Benzin,Sedan,Mavi,1581 cc,75 hp,Önden Çekiş,İkinci El,,65 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Audi A3 Sedan 1.6 TDI Ambiente 2016 Model DEĞIŞENSIZ,"Acıdere Mh. Sarıçam, Adana",1.140.000 TL,21 Ağustos 2025,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2016,307.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 boyalı,,Sahibinden,
Sahibinden Peugeot 107 1.4 HDi Trendy 2008 Model,"Yeni Mh. Sarıçam, Adana",310.000 TL,21 Ağustos 2025,Peugeot,107,1.4 HDi Trendy,2008,205.000 km,Düz,Dizel,Hatchback/5,Sarı,1398 cc,55 hp,Önden Çekiş,İkinci El,"4,1 lt",35 lt,Belirtilmemiş,-,Sahibinden,
Sahibinden Volkswagen Polo 1.0 Trendline 2017 Model,"Ziyapaşa Mh. Seyhan, Adana",760.000 TL,21 Ağustos 2025,Volkswagen,Polo,1.0 Trendline,2017,78.000 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,75 hp,Önden Çekiş,İkinci El,"5,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
Sahibinden Renault R 9 1.4 Broadway 1994 Model,"Yeniköy Mh. Yüreğir, Adana",210.000 TL,21 Ağustos 2025,Renault,R 9,1.4 Broadway,1994,320.000 km,Düz,Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,3 boyalı,,Sahibinden,
Sahibinden Volkswagen Golf 1.5 TSi Highline 2019 Model,"Gültepe Mh. Sarıçam, Adana",1.260.000 TL,21 Ağustos 2025,Volkswagen,Golf,1.5 TSi Highline,2019,158.000 km,Yarı Otomatik,Benzin,Hatchback/5,Lacivert,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,1 lt",50 lt,6 boyalı,,Sahibinden,
Sahibinden Ford Focus 1.6 TDCi Style 2011 Model Adana,"Reşatbey Mh. Seyhan, Adana",480.000 TL,21 Ağustos 2025,Ford,Focus,1.6 TDCi Style,2011,272.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",53 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,
"CEMAL AUTO"" 2015 MERCEDES E 250 4Matic HATASIZ BOYASIZ TRAMERSİZ","Yeşiloba Mh. Seyhan, Adana",1.925.000 TL,21 Ağustos 2025,Mercedes - Benz,E,250 CDI Elite,2015,316.000 km,Otomatik,Dizel,Sedan,Siyah,2143 cc,204 hp,4WD (Sürekli),İkinci El,"5,7 lt",59 lt,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Renault R 9 1.4 Broadway RL 1999 Model,"Yeşilyurt Mh. Seyhan, Adana",157.500 TL,21 Ağustos 2025,Renault,R 9,1.4 Broadway RL,1999,252.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,-,Sahibinden,
2024 Renault Clio  Evolution 8.000km de hatasız boyasız tramersiz,"Cemalpaşa Mh. Seyhan, Adana",1.250.000 TL,21 Ağustos 2025,Renault,Clio,1.0 TCe Evolution,2024,8.300 km,Otomatik,Benzin,Hatchback/5,Gri (titanyum),999 cc,90 hp,Önden Çekiş,İkinci El,6 lt,42 lt,Tamamı orjinal,Takasa Uygun,Galeriden,
2012 LİNEA BAKIMLI ARAÇ EURO 5,"Fatih Mh. Seyhan, Adana",395.000 TL,21 Ağustos 2025,Fiat,Linea,1.3 Multijet Active Plus,2012,225.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,"1 değişen, 4 boyalı",,Sahibinden,
Sahibinden Honda Civic 1.6 i-VTEC Elegance 2012 Model,"Fatih Mh. Seyhan, Adana",785.000 TL,21 Ağustos 2025,Honda,Civic,1.6 i-VTEC Elegance,2012,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1595 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,6 boyalı,Takasa Uygun,Sahibinden,
Sahibinden Ford Fiesta 1.5 TDCi Titanium 2013 Model,"Yenidoğan Mh. Yüreğir, Adana",680.000 TL,21 Ağustos 2025,Ford,Fiesta,1.5 TDCi Titanium,2013,141.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,İkinci El,"3,7 lt",42 lt,1 değişen,-,Sahibinden,
"Hatasız astra Düşük km ,Sunroof paket","Şevkiye Mh. Kozan, Adana",830.000 TL,21 Ağustos 2025,Opel,Astra,1.3 CDTI Sport,2012,138.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",56 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Volkswagen Passat 1.6 FSi Comfortline 2006 Model,"Mehmet Akif Ersoy Mh. Sarıçam, Adana",485.000 TL,21 Ağustos 2025,Volkswagen,Passat,1.6 FSi Comfortline,2006,312.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"7,6 lt",70 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,
MOTOR MEKANİK MASRAFSIZ SEAT İBİZA,"Huzurevleri Mh. Çukurova, Adana",315.000 TL,21 Ağustos 2025,Seat,Ibiza,1.4 Stella,2004,235.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1390 cc,75 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,
Sahibinden Volvo S60 1.6 D Advance 2014 Model,"Cemalpaşa Mh. Seyhan, Adana",880.000 TL,21 Ağustos 2025,Volvo,S60,1.6 D Advance,2014,295.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",67 lt,"3 değişen, 1 boyalı",,Sahibinden,
Sahibinden Toyota Corolla 1.6 Life 2018 Model Yeni Muayeneli,"Yıldırım Beyazıt Mh. Sarıçam, Adana",1.170.000 TL,21 Ağustos 2025,Toyota,Corolla,1.6 Life,2018,72.000 km,Düz,Benzin,Sedan,Gri (metalik),1598 cc,132 hp,Önden Çekiş,İkinci El,"6,3 lt",55 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Citroen Saxo 1.4 SX 2000 Model,"Pınar Mh. Seyhan, Adana",230.000 TL,21 Ağustos 2025,Citroen,Saxo,1.4 SX,2000,300.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,8 lt",45 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Ford Fiesta 1.25 Flair 2000 Model,"İsmetpaşa Mh. Seyhan, Adana",285.000 TL,21 Ağustos 2025,Ford,Fiesta,1.25 Flair,2000,231.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi (metalik),1753 cc,60 hp,Önden Çekiş,İkinci El,"6,1 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
Sahibinden Hyundai Accent 1.5 GLS 2001 Model,"Orhangazi Mh. Sarıçam, Adana",292.500 TL,21 Ağustos 2025,Hyundai,Accent,1.5 GLS,2001,253.000 km,Düz,LPG & Benzin,Hatchback/5,Sarı,1495 cc,102 hp,Önden Çekiş,İkinci El,"6,9 lt",45 lt,Belirtilmemiş,,Sahibinden,800.0
Sahibinden Opel Corsa 1.4 GLS 1997 Model,"Varsaklar Mh. Kozan, Adana",210.000 TL,21 Ağustos 2025,Opel,Corsa,1.4 GLS,1997,288.968 km,Düz,LPG & Benzin,Hatchback/5,Mavi (metalik),1389 cc,90 hp,Önden Çekiş,İkinci El,"7,4 lt",42 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Ford Fiesta 1.25 Flair 1998 Model,"Tufanpaşa Mh. Kozan, Adana",225.000 TL,21 Ağustos 2025,Ford,Fiesta,1.25 Flair,1998,270.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (metalik),1242 cc,75 hp,Önden Çekiş,İkinci El,"7,1 lt",42 lt,Tamamı boyalı,,Sahibinden,
Sahibinden Emsalsiz Volkswagen Passat 2.0 TDi Highline 2007 Model,"Ova Mh. Seyhan, Adana",650.000 TL,21 Ağustos 2025,Volkswagen,Passat,2.0 TDi Highline,2007,270.000 km,Düz,Dizel,Sedan,Bej,1968 cc,140 hp,Önden Çekiş,İkinci El,"5,8 lt",70 lt,"4 değişen, 6 boyalı",Takasa Uygun,Sahibinden,
Sahibinden Renault Megane 1.5 dCi Privilege 2008 Model,"Gürselpaşa Mh. Seyhan, Adana",485.000 TL,21 Ağustos 2025,Renault,Megane,1.5 dCi Privilege,2008,255.500 km,Otomatik,Dizel,Sedan,Kırmızı,1461 cc,100 hp,Önden Çekiş,İkinci El,"4,9 lt",60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Opel Astra 1.6 Edition 2015 Model,"Belediye Evleri Mh. Çukurova, Adana",750.000 TL,21 Ağustos 2025,Opel,Astra,1.6 Edition,2015,118.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",56 lt,3 boyalı,Takasa Uygun,Sahibinden,38400.0
Sahibinden Toyota Corolla 1.6 Touch 2014 Model  227.500 km Beyaz,"Yavuzlar Mh. Yüreğir, Adana",880.000 TL,21 Ağustos 2025,Toyota,Corolla,1.6 Touch,2014,228.200 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,3 lt",55 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Hyundai Accent 1.5 CRDi Admire 2005 Model,"Belediye Evleri Mh. Çukurova, Adana",190.000 TL,21 Ağustos 2025,Hyundai,Accent,1.5 CRDi Admire,2005,247.000 km,Düz,Dizel,Sedan,Beyaz,1493 cc,82 hp,Önden Çekiş,İkinci El,"5,5 lt",45 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,
Sahibinden Fiat Egea 1.6 Multijet Lounge 2016 Model,"Mekan Mh. Seyhan, Adana",780.000 TL,21 Ağustos 2025,Fiat,Egea,1.6 Multijet Lounge,2016,198.000 km,Düz,Dizel,Sedan,Füme,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,
Sahibinden Renault Clio 1.6 Dynamique 2002 Model,"Pınar Mh. Seyhan, Adana",418.000 TL,21 Ağustos 2025,Renault,Clio,1.6 Dynamique,2002,294.000 km,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),1598 cc,107 hp,Önden Çekiş,İkinci El,"7,2 lt",50 lt,Tamamı boyalı,,Sahibinden,
Sahibinden Renault Clio 1.5 dCi Joy 2015 Model,"Mehmet Akif Ersoy Mh. Sarıçam, Adana",565.000 TL,21 Ağustos 2025,Renault,Clio,1.5 dCi Joy,2015,124.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,5 boyalı,,Sahibinden,
Sahibinden Ford Focus 1.6 Ghia 2004 Model,"Levent Mh. Yüreğir, Adana",440.000 TL,21 Ağustos 2025,Ford,Focus,1.6 Ghia,2004,271.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi (metalik),1596 cc,100 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,"1 değişen, 4 boyalı",,Sahibinden,
Sahibinden Tata Manza Aura 1.4 Safire 2012 Model,"Doğankent Bahçelievler Mh. Yüreğir, Adana",287.000 TL,21 Ağustos 2025,Tata,Manza,Aura 1.4 Safire,2012,125.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,90 hp,Önden Çekiş,İkinci El,"6,4 lt",44 lt,2 boyalı,,Sahibinden,
Sahibinden Ford Focus 1.6 Ghia 2003 Model,"Demetevler Mh. Seyhan, Adana",385.000 TL,21 Ağustos 2025,Ford,Focus,1.6 Ghia,2003,310.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,"1 değişen, 7 boyalı",,Sahibinden,
Sahibinden Renault Clio 1.5 dCi Authentique 2008 Model,"Serinevler Mh. Yüreğir, Adana",420.000 TL,21 Ağustos 2025,Renault,Clio,1.5 dCi Authentique,2008,263.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,80 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,2 değişen,Takasa Uygun Değil,Sahibinden,
Sahibinden BMW 1 Serisi 116d ED EfficientDynamics 2014 Model,"PTT Mh. Yüreğir, Adana",980.000 TL,21 Ağustos 2025,BMW,1 Serisi,116d ED EfficientDynamics,2014,180.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,116 hp,Arkadan İtiş,İkinci El,"3,8 lt",52 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,
Sahibinden Volkswagen Golf 1.6 TDi BlueMotion Comfortline 2013 Model,"Selahattin Eyyubi Mh. Yüreğir, Adana",1.080.000 TL,21 Ağustos 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2013,182.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Peugeot 301 1.6 HDi Active 2014 Model,"Levent Mh. Yüreğir, Adana",510.000 TL,21 Ağustos 2025,Peugeot,301,1.6 HDi Active,2014,200.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,İkinci El,"4,3 lt",50 lt,1 boyalı,,Sahibinden,
Sahibinden Ford C-Max 1.6 Trend 2006 Model,"Mehmet Akif Ersoy Mh. Sarıçam, Adana",420.000 TL,21 Ağustos 2025,Ford,C-Max,1.6 Trend,2006,282.000 km,Düz,LPG & Benzin,MPV,Gri,1596 cc,115 hp,Önden Çekiş,İkinci El,"6,6 lt",55 lt,Belirtilmemiş,,Sahibinden,
